Symbol	Name
ROGO	ROGOSIN ENTR ISR
ROSB	ROSEBUD MEDICAL
ROSE	WALTER ROSENTHAL
ROTM	ROTEM CONSTRUCTION
ROTS	D. ROTSCHTEIN CONS
RPAC	RAPAC ELECTRONICS
RPD-M	RAPID VISION
RPTC	RAPAC TECHOLOGIES
RSEF	RESHEF 1
RSEL	RSL ELECTRONICS
RSTV	ROSHTOV SOFTWARE
RTLX	RETALIX
RVSN	RADVISION
SAE	SUPER-SOL -B-
SAIN-M	SAHAR INVESTEC
SALG	SHALAG INDUSTRIES
SALT	SALT INDUSTRIES
SANO1	SANO-BRUNOS ENTR 1
SANO5	SANO-BRUNOS ENTR
SBAR	S BAR
SCC	SPACECOM SATEL COMM
SCIX	SCITEX
SCOP	SCOPE METALS TRD
SEFN	SEFEN
SELA	SELA GROUP.COM
SERF	SERAFON RESINOUS
SFK	SHREM FUD KELNER A
SFTC	SHREM-FUD-KEL-TECH
SHAM	SHAMIR FOOD INDS
SHAN	SHANIV PAPER IND
SHKL	MIGDALEY SHEKEL
SHKR	SHEKEM REAL EST
SHLG	SHELEG TEXTILE
SHMI	HASHMIRA SEC TECHNO
SHML	SHAHAR HAMIL
SHMN	SHEMEN IND -A-
SHMR	SHAMIR OPTICAL IND
SHUL	SHULAMIT GARDENS HT
SINS	SINAI HLDGS INS
SKED	SHAKED NETANEL CONS
SKUM	SECOM (ISRAEL)
SLAD	SHLADOT METAL WKS 1
SLBR	SOLBAR INDUSTRIES
SLTN	OTZAR HASH HAM 1 A
SMCM	SEMICOM IND
SMT	SUMMIT REAL ESTATE
SNEL	SYNEL INDUSTRIES
SNHV	SHENHAV INDS
SOLG	HORIZON CHAL INV CO
SOLH	SOLOMON HLDGS
SOLO	E. SOLOMON INVT & C
SPAN-M	SPANCRETE
SPCB	SUPERIORCABLES
SPCT	SPECTRONIX 1
SPNS	SAPIENS INTL CORP
SPNTC	NR SPUNTECH
SRFT	ZVI SARFATI & SONS
STCM	SATCOM SYSTEMS
STEE	ISRAEL STEEL MILLS
STEL	STRAUSS ELITE
STGI	STG INTL
STNG	Y SHTANG & SONS
STNT	STAR NIGHT TECH
SUNF	SUNFROST 1
SUNY	SUNY ELECTR
SVAN	SIVAN TRAINING SYST
SYNO	SYNOPSIS
SYST	S.Y. SHEM TOV
TAAL	TAAL MFG PLYW B 2
TADB	TADBIK
TALC	EUROPEAN SAT SERV
TALD	TALDOR COMPUTER
TAO-M	TAO A
TAT5	TAT AERO EQU IND
TATTF	TAT TECH
TAYA	TAYA ISR COSMETIC
TDCL	BIOMEDIX
TDCM	TADIRAN COMMUNICAT
TDGN	TADIR-GAN
TEAM	TEAM COMPUT SYS 1
TEDE	TED TECHN DEVL AU 1
TEFN	TEFEN IND ENGR & MG
TENE	OFF TENNE INDS
TEVA	TEVA PHARMA IND
TFHTP	TEFAHOT ISR MB 8PR
TFR	TEFRON
TFVC	TAMIR FISHMAN VENTU
THF-M	HATEHOF
TIBO	TIBON VEAL
TISQ	DATA JCE
TIVA	TIV TEXTILE GROUP
TLKR	TELKOOR TELECOM
TLSY	TELSYS ELECTRONIC
TMBU	TAMBOUR
TMMR	T.M.M. INTEGRATED R
TMPO	TEMPO BEER IND
TNPV	TECHNOPLUS VENTURES
TOBJ	TOBIAS JEWELLERY
TOM	TOM HOLDINGS
TOPMD	TOPSPIN MEDICAL
TOPR	TOPPER FASH ENTR 1
TREN	TRENDLINE INFORMATI
TRSC	TRANSCLAL TRADE
TRTP	TREE TOP INVESTMENT
TSCM	TESCOM SOFT SYSTEMS
TSEM	TOWER SEMICON INS 1
TSMR-M	TSAMAROT COUNTRY BD
TSNT	TESNET SOFTWARE
TUBE	MIDDLE-EAST TUBE
TUTN	TUTTNAUER
TUZA	TEUZA
TUZA-S	TEUZA PROTECTED
TYCO	TAYA COMMUNICATIONS
TZMI	ZMIHA INVT HOUSE
UNBR1	TROMASB PRE CONST 1
UNBR5	TROMASB PRE CONST
UNCO	UNICORN INVTS CO 1
UNDR	UNIDRESS
UNIC	UNICO INVT -A- 10
UNIT	UNITRONICS (1989)
UNIV	UNIVERCOL HOFFMAN
UNMI	UNAMI SHILUVIM ENT
UNON	UNION BK ISRAEL 1
URDN	URDAN INDUSTRIES
UREL	SIMCHA URIELI & SON
VILR	VILLAR INTL
VISN	VISION SIGMA
VITA	VITA-GALILEE FRUIT
VLCA	VULCAN BATTERIES
WALA	WALLA COMMUNICATION
WDNN	WARDINON
WLFD	WILLY FOOD INVTS
WLGR	WILLIGER INDUSTRIES
WLMN1	WALFMAN IND 1
WLMN5	WALFMAN IND
WOMA	WOLF CLORE MAY 0.10
WRDT	WARDINON TEXTILE
WRGR	WORLD GROUP HLDGS
WRSM	WORLD SHIPPING
XTL	XTL BIOPHARMAC
YAAD	YAAD INDUSTRIAL
YADE	YAD AVI HAYISHUV
YAMT	YAMIT HOTEL
YASR	JAYSOUR MTG BK 1
YESH	YESH GAD INDS INFRA
YHUD	YEHUDA HOTELS B
YPYP	YTONG IND
YRDN	TAO A
YTAI	Y.T AMERICA ISRAEL
YUVA	YUVAL ENGR INDS
ZAFR	ZAFRIR ENGR
ZEVC	WORLD SHIPPING
ZEVI	Y ZAHAVI
ZIKA1	ELEC WKS ZIKA 1 A
ZIKA5	ELEC WKS ZIKA B
ZINO	ZINOMETAL
ZION	ZION HOLDINGS
ZNKL	ZANLAKOL
ZOAR	ZOHAR IND 1
ZOKO	ZOKO
ZUR	ZUR SHAMIR
ZUR-P1	ZUR SHAMIR
